collage,Player,id,height,weight,born,birth_city,birth_state
Oklahoma State University,Maurice Baker,2977,185,79,1979,Granite City,Illinois
Seton Hall University,Andre Barrett,2978,178,78,1982,Bronx,New York
,Andris Biedrins,2979,211,108,1986,Riga,Latvia
University of Cincinnati,Tony Bobbitt,2980,193,86,1979,Daytona,Florida
University of Florida,Matt Bonner,2981,208,106,1980,Concord,New Hampshire
University of Memphis,Antonio Burks,2982,185,90,1980,Memphis,Tennessee
,Jackie Butler,2983,208,113,1985,McComb,Mississippi
University of California,Geno Carlisle,2984,190,81,1976,Grand Rapids,Michigan
Xavier University,Lionel Chalmers,2985,183,81,1980,Albany,New York
Stanford University,Josh Childress,2986,203,95,1983,Harbor City,California
University of Kansas,Nick Collison,2987,208,115,1980,Orange City,Iowa
University of Kentucky,Erik Daniels,2988,203,97,1982,Cincinnati,Ohio
,Carlos Delfino,2989,198,104,1982,Santa Fe,Argentina
Duke University,Luol Deng,2990,206,99,1985,Wow,South Sudan
Duke University,Chris Duhon,2991,185,83,1982,Mamou,Louisiana
Central Connecticut State University,Corsley Edwards,2992,206,124,1979,Baltimore,Maryland
Kent State University,John Edwards,2993,213,124,1981,Warren,Ohio
Texas Tech University,Andre Emmett,2994,196,104,1982,Dallas,Texas
Manhattan College,Luis Flores,2995,188,90,1981,San Pedro de Macoris,Dominican Republic
Vanderbilt University,Matt Freije,2996,208,108,1981,Overland Park,Kansas
University of Connecticut,Ben Gordon,2997,190,90,1983,London,United Kingdom
University of Wisconsin,Devin Harris,2998,190,87,1983,Milwaukee,Wisconsin
University of Colorado,David Harrison,2999,213,127,1982,Nashville,Tennessee
,Dwight Howard,3000,211,120,1985,Atlanta,Georgia
University of Minnesota,Kris Humphries,3001,206,106,1985,Minneapolis,Minnesota
University of Arizona,Andre Iguodala,3002,198,97,1984,Springfield,Illinois
,Didier Ilunga-Mbenga,3003,198,97,1984,,
University of Texas at Austin,Royal Ivey,3004,190,90,1981,Harlem,New York
,Al Jefferson,3005,208,131,1985,Monticello,Mississippi
William Paterson University,Horace Jenkins,3006,185,81,1974,Elizabeth,New Jersey
,Mario Kasun,3007,216,117,1980,Split,Croatia
,Viktor Khryapa,3008,206,95,1982,Kiev,Ukraine
Stanford University,Brandin Knight,3009,178,78,1975,Livingston,New Jersey
,Nenad Krstic,3010,213,108,1983,Kraljevo,Serbia
,Ibo Kutluay,3011,198,90,1974,Istanbul,Turkey
,Shaun Livingston,3012,201,87,1985,Peoria,Illinois
University of Cincinnati,Kevin Martin,3013,206,106,1977,Saginaw,Michigan
Saint Joseph's University,Jameer Nelson,3014,183,86,1982,Chester,Pennsylvania
,Andres Nocioni,3015,201,102,1979,Santa Fe,Argentina
University of Connecticut,Emeka Okafor,3016,208,114,1982,Houston,Texas
,Pavel Podkolzin,3017,226,117,1985,Novosibirsk,Russia
,Peter John,3018,226,117,1985,,
University of Mississippi,Justin Reed,3019,203,108,1982,Jackson,Mississippi
University of Iowa,Jared Reiner,3020,211,115,1982,Tripp,South Dakota
University of Michigan,Bernard Robinson,3021,198,95,1980,Washington,District of Columbia
Southern Methodist University,Quinton Ross,3022,198,88,1981,Dallas,Texas
,Ha Seung-Jin,3023,221,138,1985,Seoul,Republic of Korea
University of Minnesota,Donta Smith,3024,188,86,1920,Minnesota,
,J.R. Smith,3025,188,86,1920,,
University of Southern Colorado,Josh Smith,3026,213,106,1944,Columbus,Mississippi
"University of Nevada, Reno",Kirk Snyder,3027,198,102,1983,Los Angeles,California
"California State University, Fullerton",Pape Sow,3028,208,113,1981,Dakar,Senegal
Arizona State University,Awvee Storey,3029,198,100,1977,Chicago,Illinois
,Robert Swift,3030,213,111,1985,Bakersfield,California
Brigham Young University Hawaii,Yuta Tabuse,3031,175,74,1980,Yokohama,Japan
,Sebastian Telfair,3032,183,74,1985,Brooklyn,New York
University of Kansas,Billy Thomas,3033,193,94,1975,Shreveport,Louisiana
Providence College,James Thomas,3034,198,97,1973,Brooklyn,New York
,Beno Udrih,3035,190,92,1982,Celje,Slovenia
,Anderson Varejao,3036,208,123,1982,Santa Teresa,Brazil
Iowa State University,Jackson Vroman,3037,208,99,1981,Laguna,California
,Sasha Vujacic,3038,201,88,1984,Maribor,Slovenia
Saint Joseph's University,Delonte West,3039,193,81,1983,Washington,District of Columbia
Idaho State University,Damien Wilkins,3040,208,99,1960,Pocatello,Idaho
,Dorell Wright,3041,206,92,1985,Los Angeles,California
Pepperdine University,Alex Acker,3042,196,83,1983,Compton,California
Michigan State University,Alan Anderson,3043,198,99,1982,Minneapolis,Minnesota
,Martynas Andriuskevicius,3044,218,108,1986,Kaunas,Lithuania
University of Memphis,Earl Barron,3045,213,113,1981,Clarksdale,Mississippi
University of North Carolina at Charlotte,Eddie Basden,3046,196,97,1983,New York,New York
Louisiana State University,Brandon Bass,3047,203,113,1985,Baton Rouge,Louisiana
,Esteban Batista,3048,208,122,1983,Montevideo,Uruguay
,Andray Blatche,3049,211,106,1986,Syracuse,New York
University of Utah,Andrew Bogut,3050,213,117,1984,Melbourne,Australia
University of Minnesota,Kevin Burleson,3051,190,92,1979,Seattle,Washington
,Andrew Bynum,3052,213,129,1987,Plainsboro,New Jersey
Georgia Institute of Technology,Will Bynum,3053,183,83,1983,Chicago,Illinois
,Jose Calderon,3054,190,90,1981,Villanueva de la Serena,Spain
Marquette University,Travis Diener,3055,185,79,1982,Fond du Lac,Wisconsin
Arizona State University,Ike Diogu,3056,203,113,1983,Buffalo,New York
,Monta Ellis,3057,190,83,1985,Jackson,Mississippi
Duke University,Daniel Ewing,3058,190,83,1983,Milton,Florida
"California State University, Fresno",Noel Felix,3059,206,102,1981,Los Angeles,California
University of North Carolina,Raymond Felton,3060,185,92,1984,Marion,South Carolina
University of Kentucky,Gerald Fitch,3061,190,85,1982,Columbus,Georgia
University of Illinois at Chicago,Sharrod Ford,3062,201,95,1972,Baton Rouge,Louisiana
University of Arizona,Channing Frye,3063,211,115,1983,White Plains,New York
Fairfield University,Deng Gai,3064,206,113,1982,Wow,South Sudan
University of Louisville,Francisco Garcia,3065,201,88,1981,Santo Domingo,Dominican Republic
Providence College,Ryan Gomes,3066,201,113,1982,Waterbury,Connecticut
Oklahoma State University,Joey Graham,3067,201,102,1982,Wilmington,Delaware
Oklahoma State University,Stephen Graham,3068,198,97,1982,Wilmington,Delaware
University of New Mexico,Danny Granger,3069,206,100,1983,New Orleans,Louisiana
Hampton University,Devin Green,3070,201,95,1982,Columbus,Ohio
,Gerald Green,3071,201,92,1986,Houston,Texas
University of Louisiana at Lafayette,Orien Greene,3072,193,94,1982,Gainesville,Florida
North Carolina State University,Anthony Grundy,3073,190,81,1979,Louisville,Kentucky
University of Kentucky,Chuck Hayes,3074,198,108,1983,San Leandro,California
University of Illinois at Urbana-Champaign,Luther Head,3075,190,83,1982,Chicago,Illinois
North Carolina State University,Julius Hodge,3076,201,95,1983,New York,New York
San Diego State University,Randy Holcomb,3077,206,102,1979,Chicago,Illinois
Georgia Institute of Technology,Jarrett Jack,3078,190,90,1983,Fort Washington,Maryland
University of Maryland,Sarunas Jasikevicius,3079,193,88,1976,Kaunas,Lithuania
,Amir Johnson,3080,206,108,1987,Los Angeles,California
University of Houston,Dwayne Jones,3081,208,95,1952,Houston,Texas
University of Missouri,Linas Kleiza,3082,203,111,1985,Kaunas,Lithuania
,Yaroslav Korolev,3083,206,92,1987,Moscow,Russia
University of San Francisco,David Lee,3084,201,102,1942,Modesto,California
,Arvydas Macijauskas,3085,193,97,1980,Klaipeda,Lithuania
Oakland University,Rawle Marshall,3086,206,86,1982,Georgetown,Guyana
University of Cincinnati,Jason Maxiell,3087,201,117,1983,Chicago,Illinois
University of North Carolina,Sean May,3088,206,120,1984,Chicago,Illinois
University of North Carolina,Rashad McCants,3089,193,93,1984,Asheville,North Carolina
University of Kansas,Aaron Miles,3090,185,79,1983,Portland,Oregon
,C.J. Miles,3091,185,79,1983,,
,Sergei Monia,3092,203,99,1983,Saratov,Russia
,Boniface N'Dong,3093,213,89,1977,Dakar,Senegal
,Fabricio Oberto,3094,208,111,1975,Las Varillas,Argentina
University of Houston,Andre Owens,3095,193,90,1980,Indianapolis,Indiana
Wake Forest University,Chris Paul,3096,183,79,1985,Winston-Salem,North Carolina
