prize,race_id,date,venue,race_no,surface,distance,going,horse_ratings,race_class,sec_time,win_combination
850000,944,8/23/1998,ST,10,1,1650,FAST,85-60,3,27.83,8
485000,945,8/26/1998,HV,1,0,1650,GOOD,40-15,5,28.25,10
625000,946,8/26/1998,HV,2,0,1200,GOOD,60-40,4,23.74,3
812500,947,8/26/1998,HV,3,0,1650,GOOD,60-40,4,28.45,7
850000,948,8/26/1998,HV,4,0,1200,GOOD,80-60,3,23.44,9
850000,953,8/30/1998,ST,1,0,1200,GOOD,80-60,3,23.75,6
850000,954,8/30/1998,ST,2,0,1400,GOOD,80-60,3,13.83,13
625000,968,9/2/1998,HV,6,0,1200,GOOD,60-40,4,24.05,5
850000,969,9/2/1998,HV,7,0,1200,GOOD,80-60,3,23.67,12
850000,970,9/2/1998,HV,8,0,1800,GOOD,80-60,3,13.56,12
625000,976,9/5/1998,ST,6,0,1600,GOOD,60-40,4,24.25,1
850000,977,9/5/1998,ST,7,0,1000,GOOD,85-60,3,13.23,14
850000,978,9/5/1998,ST,8,0,1400,GOOD,80-60,3,13.56,14
1150000,979,9/5/1998,ST,9,0,1400,GOOD,100-80,2,13.78,12
850000,980,9/5/1998,ST,10,0,1600,GOOD,80-60,3,24.95,2
625000,981,9/9/1998,HV,1,0,1200,GOOD TO FIRM,60-40,4,23.78,11
485000,982,9/9/1998,HV,2,0,1650,GOOD TO FIRM,40-0,5,28.56,4
485000,989,9/13/1998,ST,1,0,1000,GOOD,40-0,5,13.42,10
625000,990,9/13/1998,ST,2,1,1200,FAST,60-40,4,23.47,8
625000,991,9/13/1998,ST,3,0,1200,GOOD,60-40,4,24.23,8
850000,992,9/13/1998,ST,4,1,1200,FAST,80-60,3,23.38,3
625000,993,9/13/1998,ST,5,0,2000,GOOD,60-40,4,26.66,2
625000,994,9/13/1998,ST,6,0,1600,GOOD,60-40,4,24.25,11
850000,995,9/13/1998,ST,7,1,1200,FAST,80-60,3,23.3,4
850000,996,9/13/1998,ST,8,0,1800,GOOD TO YIELDING,80-60,3,14.16,12
