team1,team2,id,season,city,date,toss_winner,toss_decision,result,dl_applied,winner,win_by_runs,win_by_wickets,player_of_match,venue,umpire1,umpire2,umpire3
Deccan Chargers,Chennai Super Kings,114,2008,Hyderabad,5/27/2008,Deccan Chargers,bat,normal,0,Chennai Super Kings,0,7,SK Raina,"Rajiv Gandhi International Stadium, Uppal",BG Jerling,AM Saheba,
Rajasthan Royals,Delhi Daredevils,115,2008,Mumbai,5/30/2008,Delhi Daredevils,field,normal,0,Rajasthan Royals,105,0,SR Watson,Wankhede Stadium,BF Bowden,RE Koertzen,
Kings XI Punjab,Chennai Super Kings,116,2008,Mumbai,5/31/2008,Kings XI Punjab,bat,normal,0,Chennai Super Kings,0,9,M Ntini,Wankhede Stadium,Asad Rauf,DJ Harper,
Chennai Super Kings,Rajasthan Royals,117,2008,Mumbai,6/1/2008,Rajasthan Royals,field,normal,0,Rajasthan Royals,0,3,YK Pathan,Dr DY Patil Sports Academy,BF Bowden,RE Koertzen,
Mumbai Indians,Chennai Super Kings,118,2009,Cape Town,4/18/2009,Chennai Super Kings,field,normal,0,Mumbai Indians,19,0,SR Tendulkar,Newlands,BR Doctrove,K Hariharan,
Royal Challengers Bangalore,Rajasthan Royals,119,2009,Cape Town,4/18/2009,Royal Challengers Bangalore,bat,normal,0,Royal Challengers Bangalore,75,0,R Dravid,Newlands,BR Doctrove,RB Tiffin,
Kings XI Punjab,Delhi Daredevils,120,2009,Cape Town,4/19/2009,Delhi Daredevils,field,normal,1,Delhi Daredevils,0,10,DL Vettori,Newlands,MR Benson,SD Ranade,
Kolkata Knight Riders,Deccan Chargers,121,2009,Cape Town,4/19/2009,Kolkata Knight Riders,bat,normal,0,Deccan Chargers,0,8,RP Singh,Newlands,MR Benson,BR Doctrove,
Chennai Super Kings,Royal Challengers Bangalore,122,2009,Port Elizabeth,4/20/2009,Chennai Super Kings,bat,normal,0,Chennai Super Kings,92,0,M Muralitharan,St George's Park,BG Jerling,SJA Taufel,
Kings XI Punjab,Kolkata Knight Riders,123,2009,Durban,4/21/2009,Kolkata Knight Riders,field,normal,1,Kolkata Knight Riders,11,0,CH Gayle,Kingsmead,DJ Harper,SD Ranade,
Deccan Chargers,Royal Challengers Bangalore,124,2009,Cape Town,4/22/2009,Deccan Chargers,bat,normal,0,Deccan Chargers,24,0,AC Gilchrist,Newlands,M Erasmus,AM Saheba,
Delhi Daredevils,Chennai Super Kings,125,2009,Durban,4/23/2009,Delhi Daredevils,bat,normal,0,Delhi Daredevils,9,0,AB de Villiers,Kingsmead,BR Doctrove,SJA Taufel,
