year,title,imdbRating,ratingCount,duration
1967,Belle de Jour - Schöne des Tages (1967),7.8,22439,6060
7500,Big Fish - Der Zauber\,http://www.imdb.com/title/tt0319061/,8,295910
1996,Zwielicht (1996),7.7,99269,7740
2007,Gone Baby gone - Kein Kinderspiel (2007),7.7,148683,6840
1986,Der Name der Rose (1986),7.8,66690,7800
1992,Eine Frage der Ehre (1992),7.6,145459,8280
2009,Verblendung (2009),7.8,139396,9120
1998,Following (1998),7.6,48309,4140
2007,Michael Clayton (2007),7.3,113526,7140
2002,Insomnia - Schlaflos (2002),7.2,169766,7080
1988,Mississippi Burning - Die Wurzel des Hasses (1988),7.8,52664,7680
1985,Exit (1985),6.6,14,960
1982,Remington Steele In the Steele of the Night (TV Episode 1982),7.9,49,3600
1947,Zelle R 17 (1947),7.7,4746,5880
1940,Nachts unterwegs (1940),7.3,4437,5700
1993,Mrs. Doubtfire - Das stachelige Kindermädchen (1993),6.8,124836,7500
2007,Lili Marlene (2007),,,2400
1998,Lola rennt (1998),7.8,138695,4860
1993,True Romance (1993),8,130834,7200
6300,La leggenda di Al\,http://www.imdb.com/title/tt0345561/,6.1,1520
1956,Die zehn Gebote (1956),7.9,37792,13200
1962,Meuterei auf der Bounty (1962),7.2,9363,10680
1962,Hatari (1962),7.3,7219,9420
1998,Der Mann in der eisernen Maske (1998),6.4,95874,7920
2002,Monte Cristo (2002),7.7,85719,7860
1960,Spartacus (1960),8,81588,11820
1974,Die vier Halunken der Königin (1974),7.1,6591,6480
2009,Agora - Die Säulen des Himmels (2009),7.2,40671,7620
1964,Zulu (1964),7.8,24152,8280
1970,Tora! Tora! Tora! (1970),7.5,20804,8640
2006,Tristan + Isolde (2006),6.9,39614,7500
1929,Erpressung (1929),7.1,5938,5100
1993,Tombstone (1993),7.9,75804,7800
1986,Blutmond (1986),7.2,39679,7140
1969,Magic Christian (1969),6.2,2149,5520
7200,Der Mann\,http://www.imdb.com/title/tt0049470/,7.5,32447
2006,Lucky Number Slevin (2006),7.8,215991,6600
1975,Die drei Tage des Condor (1975),7.5,27026,7020
2006,The Illusionist - Nichts ist wie es scheint (2006),7.6,225695,6600
2005,Der ewige Gärtner (2005),7.5,92479,7740
1975,Beruf: Reporter (1975),7.7,11940,7560
1991,Schatten der Vergangenheit (1991),7,19121,6420
2006,Children of Men (2006),7.9,294420,6540
2004,Sehnsüchtig (2004),7,37733,6840
1997,Öffne die Augen (1997),7.8,43591,7020
2008,So finster die Nacht (2008),8,143919,6900
1937,Jung und unschuldig (1937),7.1,5332,4800
2002,Roter Drache (2002),7.2,164519,7440
1977,Deckname Sweeny (1977),6.8,485,5340
1950,Die Vergessenen (1950),8.1,10710,5100
1928,Der Kameramann (1928),8.3,5912,4140
1969,Topas (1969),6.3,10380,8580
1960,Rocco und seine Brüder (1960),8.3,8889,10620
2009,Ein Prophet (2009),7.9,63032,9300
1964,Die Außenseiterbande (1964),7.9,12586,5700
1966,Zum Beispiel Balthasar (1966),7.9,8524,5700
1973,Hexenkessel (1973),7.5,54260,6720
2000,Die neun Königinnen (2000),7.9,27621,6840
2006,Yihe yuan (2006),7,1615,9480
2011,Midnight in Paris (2011),7.7,221572,5640
11935,Eins\,eins zwei drei,http://www.imdb.com/title/tt0055256/,8
2012,Silver Linings (2012),7.9,354393,7320
2013,Blue Jasmine (2013),7.4,74652,5880
1967,Frühling für Hitler (1967),7.7,32666,5280
1968,Der Partyschreck (1968),7.6,24528,5940
1971,Die wunderbare Welt der Schwerkraft (1971),7.6,18523,5280
1982,Monty Python Live at the Hollywood Bowl (1982),7.9,9838,4620
2007,Sterben für Anfänger (2007),7.4,74812,5400
2000,Best in Show (2000),7.5,39785,5400
1958,Mein Onkel (1958),7.9,10560,7020
1984,Ronde de nuit (1984),4.5,83,5700
2003,Good Bye Lenin! (2003),7.8,91044,7260
1989,Harry und Sally (1989),7.6,118446,5760
2012,Adventures in the Sin Bin (2012),5.4,267,
1973,Amarcord (1973),8,23480,7380
1953,Die Müßiggänger (1953),8,7941,6000
1972,Fellinis Roma (1972),7.4,7030,7680
1921,The Affairs of Anatol (1921),8.1,999,7020
1939,Die Frauen (1939),8.1,8218,7980
1980,Stardust Memories (1980),7.5,12779,5340
1974,Das Gespenst der Freiheit (1974),8,7980,6180
1984,Stranger Than Paradise (1984),7.6,19517,5340
1991,Night on Earth (1991),7.8,30604,7740
2001,...mit deiner Mutter auch! (2001),7.7,75928,6360
1932,Polly of the Circus (1932),7.6,755,4140
1948,Geheimnis der Mutter (1948),8.4,3300,8040
2004,Die Sopranos Marco Polo (TV Episode 2004),8.7,835,3480
1997,Lost Highway (1997),7.7,76443,8040
1999,Audition (1999),7.3,44241,6900
6900,Janghwa\,http://www.imdb.com/title/tt0365376/,7.3,34097
1983,Christine (1983),6.6,38714,6600
1992,Twin Peaks - Der Film (1992),7.2,39735,8100
2000,Schatten der Wahrheit (2000),6.6,83684,7800
1956,Böse Saat (1956),7.5,7602,7740
2012,Dark Shadows (2012),6.3,147014,6780
1989,Santa sangre (1989),7.7,10273,7380
2002,The Mothman Prophecies - Tödliche Visionen (2002),6.5,54115,7140
1998,Friends The One with the Yeti (TV Episode 1998),8.1,701,1320
1929,Speedway (1929),7.7,496,4560
1922,Blut und Sand (1922),7.4,863,4800
1999,Aus Liebe zum Spiel (1999),6.5,22056,8220
1961,Sommer und Rauch (1961),8,1192,7080
1920,Mädchenlos (1920),8.1,3134,8700
1921,Der Scheich (1921),7.4,2103,4800
